D00155,C1C(C(OC1N2C=NC3=C2NC=NCC3O)CO)O
D02546,CC(=C)C1CNC(C1CC(=O)O)C(=O)O.O
ZINC13490296,CC1=CC=CC(=C1)C(=O)NC(CC(C)C)C(=O)NCCNC2=CC=C(C=C2)OC
D00499,CCCC(C)C1(C(=O)NC(=O)NC1=O)CC
ZINC29043329,CC1=NC2C(C(C(OC2(S1)C)CO)O)O
ZINC72177353,C1=CC=C(C=C1)NC(=O)N(CC2=C(C=CC(=C2)Br)O)C3=CC=CC=C3Cl
ZINC14946765,CCC(CC)CN(C(CCCCNC(=O)OCC1C2=CC=CC=C2C3=CC=CC=C13)C(=O)O)S(=O)(=O)C4=CC=C(C=C4)C
D00410,CC(C)(C1=CN=CC=C1)C(=O)C2=CN=CC=C2
D00475,CCCN(CCC)S(=O)(=O)C1=CC=C(C=C1)C(=O)O
ZINC26746130,C1=CC(=CC(=C1)CN2C=CC3=C2C=CC(=C3)C(=N)N)C(=N)N
ZINC26470058,CN(CC1=CC=C(C=C1)CN(C)C(=O)CCC(=O)NCC2=CC=C(C=C2)CN)C(=O)CCC(=O)NCC3=CC=C(C=C3)CN
ZINC14953411,COC1=C(C=C(C(=C1)CNC2=CC=C(C=C2)C(=N)N)NS(=O)(=O)C)OCC3=CC=CC=C3
G6P,C(C1C(C(C(C(O1)O)O)O)O)OP(=O)(O)O
D01690,COC1=C(C=C(C=C1)C(=O)N2CCN(CC2)C3=CC4=C(C=C3)NC(=O)CC4)OC
ZINC36350140,C1C(C(OC1N2C=C(C(=O)NC2=O)C3=CC=C(C=C3)N)COP(=O)([O-])[O-])O
ZINC84672252,C1=CC(=C(N=C1)NC2=C(N=CC=C2)Cl)C#N
ANP,C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)COP(=O)(O)OP(=O)(NP(=O)(O)O)O)O)O
ZINC29334958,CC(CCC(=O)OC1=CC2=C(C=C1)N=C(S2)S(=O)(=O)N)C3CCC4C3(C(CC5C4C(CC6C5(CCC(C6)O)C)O)O)C
ZINC64526376,COC(=O)CC1=NC2=C(C=CC(=C2)F)OC1=O
ZINC13826179,CC1=C(C2=C(C=C1)NC(=NC2=O)C)SC3=CC(=NC=C3)N(C)C
D00294,CC1=NS(=O)(=O)C2=C(N1)C=CC(=C2)Cl
ZINC13557580,CC(=CC1=CC(=NO1)C(=O)O)C2=CC3=C(C=C2)C(CCC3(C)C)(C)C
ZINC13863068,C1=CC=C(C=C1)CN2C3=C(C=C(C=C3)[N+](=O)[O-])C(=O)C2=O
ZINC28466503,CC(C(C(=O)N1CCCC1C(=O)N)NC(=O)CC2=CC=CC=C2)OP(=O)(O)O
ZINC13863690,C1=CC(=C2NC3=C(N2)C=C(C=C3)C(=N)N)C(=O)C(=C1)[N+](=O)[O-]
ZINC01428434,C1CC(N(C1)S(=O)(=O)C2=CC=CC=C2)C(=O)NCCC3=CC=CC=C3
ZINC59201470,CCC(C(=O)N1CCCC1C(=O)NC(C2=CC=CC=C2)C3=CC=CC=C3)NC(=O)C(C)NC
D00651,C1=CC=C(C=C1)CSCC2=NS(=O)(=O)C3=CC(=C(C=C3N2)Cl)S(=O)(=O)N
NTZ,C(C1C(C(C(C2=NN=NN12)O)O)O)O
ZINC05163034,C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)C(=O)O)O)O
D00132,CC(C1=CC=CC(=C1)C(=O)C2=CC=CC=C2)C(=O)O
ZINC14907434,C1=CC=C(C=C1)CC2C(C(C(N(C(=O)N2CC=CC3=CC=CC=C3O)CC=CC4=CC=CC=C4O)CC5=CC=CC=C5)O)O
ZINC96284707,CC1=CC(=NC(=C1)N)COCC(CCN)OCC2=NC(=CC(=C2)C)N
ZINC00001187,CC(C)(C(=O)O)OC1=CC=C(C=C1)Cl
ZINC95565411,COC1C(C(C(C(O1)COS(=O)(=O)O)OS(=O)(=O)O)OC(=O)C2=CC=CC=C2)OC(=O)C3=CC=CC=C3
ZINC01442764,C1=CC=C2C=C(C=CC2=C1)C(=N)N
ZINC26988119,CC1=C(C(=C2C(=C1)C(=C(C(=C2C=O)O)O)C(C)C)OC)C3=C(C=C4C(=C3OC)C(=C(C(=C4C(C)C)O)O)C=O)C
D01256,C1C2CC(C1C=C2)C3NC4=CC(=C(C=C4S(=O)(=O)N3)S(=O)(=O)N)Cl
ZINC40412053,C1C(C(CN1)NCC(CC2=CC=CC=C2)N)CC3=NC(=CC=C3)N
D00964,C1=CC(=CC=C1C#N)C(C2=CC=C(C=C2)C#N)N3C=NC=N3
ZINC40919161,CC1=CC(=NC(=C1)N)CC2CNCC2NCCNCC3=CC(=CC=C3)C(F)(F)F
D04023,COCCOC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=C(C=C3)C#C)OCCOC.Cl
ZINC49679889,CCC(C)C(C(=O)O)NC(=O)C(C(C)C)NC(=O)C(CCCCN)NC(=O)C(CC(=O)N)NC(=O)C(CCSC)N
ZINC13436566,C1CCC(CC1)C=CC2=CC(=CN=C2N=C(N)N)Cl
D01713,C1C2C3=CC=CC=C3CC4=CC=CC=C4N2C(=N1)N.Cl
ZINC84654945,C1=CC(=CC=C1NC(=O)NC2=CC=C(C=C2)Br)OS(=O)(=O)N
ZINC13808325,C1=CC=C(C(=C1)[N+](=O)[O-])SN(CC2=CC=C(C=C2)[N+](=O)[O-])CC(=O)NO
D00545,C(C(F)(F)F)(OC(F)F)Cl
ZINC13441785,C1CCN(C(C1)C(=O)OCCCC2=CC=C(C=C2)F)S(=O)(=O)CC3=CC=CC=C3
ZINC26578631,CC(C(C(=O)NC(CC1=CC=CC=C1)C=O)NS(=O)(=O)C)OCC2=CC=CC=C2
ZINC49780858,CC(=O)OC1C(C(OC(C1OC(=O)C)SNCCC2=CC=C(C=C2)S(=O)(=O)N)C(=O)OC)OC(=O)C
ZINC35950478,C1=CC(=CC=C1CCNC(=O)CC2=CC(=C(C=C2)O)Cl)S(=O)(=O)N
ZINC27305594,CC(=O)NC1C(C(C(OC1OCC2=CC=CC=C2)CO)N)O
ZINC34717889,C1CN(CCC1CCN=C(N)N)C(=O)C(CC2=CC=CC(=C2)C(=N)N)NS(=O)(=O)C3=CC=CC4=CC=CC=C43
ZINC13520257,C1=CC=C2C=C(C=CC2=C1)OS(=O)(=O)N
ZINC03870308,C1=CC(=CC(=C1)O)C(C(=O)O)N
ZINC14980001,COC(=O)C1=CC=CC(=C1)C#CCCCCC(=O)C2=NC=C(O2)C3=CC=CC=N3
ZINC01550228,CCC1=CC=C(C=C1)C2=C(C(CCC2)(C)C)C=CC#CC3=CC=C(C=C3)C(=O)O
D00726,CCN(CC)CCNC(=O)C1=CC(=C(C=C1OC)N)Cl
D00546,C(C(F)(F)F)(OC(F)F)F
ZINC28772049,CSC1=C(C=C(S1)C(=N)N)C2=NC(=CS2)C3=CC4=C(C=C3)OCO4
ZINC40763974,CCCCOC1=C(C=C(C=C1)C2=C(C=CC(=C2)CC=C)O)CC=C
ZINC84605034,C1=CC=C(C=C1)SCC(=O)C2=CC=C(C=C2)S(=O)(=O)N
D01332,CN1CCC(=C2C3=C(C(=O)CC4=CC=CC=C42)SC=C3)CC1.C(=CC(=O)O)C(=O)O
D03274,CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)Cl.C1=CC=C(C(=C1)C(=O)C2=CC=C(C=C2)O)C(=O)O
ZINC26970778,CC1(COC(=O)CCCCCCCCCOC(=O)C2CCCCN2C(=O)C1=O)C
ZINC14960747,CN(CC(=O)O)S(=O)(=O)C1=CC2=C(C=C1)C(=CN=C2N=C(N)N)Cl
ZINC01364282,C1=CC=C(C=C1)CN2C(=NN=C2SCC(=O)C3=CC=C(C=C3)F)C4=CC=CO4
D02356,CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C=C2)OC)OC
DAL,CC(C(=O)O)N
ZINC26951411,C(CC(C(=O)NC(CC(=O)N)C(=O)N)N)CN=C(N)N[N+](=O)[O-]
ZINC29336816,CC(CCC(=O)NC1=NN=C(S1)S(=O)(=O)N)C2CCC3C2(C(=O)CC4C3C(=O)CC5C4(CCC(=O)C5)C)C
ZINC06702861,C1CCN(CC1)S(=O)(=O)NC2=CC(=CC(=C2)Cl)Cl
ZINC29205458,CC(C)NC1=C(C(=NC(=N1)N2CCN(CC2)C)Cl)Br
D00139,COC1=C2C(=CC3=C1OC=C3)C=CC(=O)O2
D01977,COC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=C(C=C3)F)Cl)OCCCN4CCOCC4
ZINC02047743,CN1C2=NC(=NC=C2C=C(C1=O)C3=C(C=CC=C3Cl)Cl)NC4=CC(=CC=C4)SC
ZINC40954155,CC(C)CCC1=CC(=NC(=N1)SCC(C)C)SCC(C)C
D00437,CC1=C(C(C(=C(N1)C)C(=O)OC)C2=CC=CC=C2[N+](=O)[O-])C(=O)OC
ZINC66259696,CC(=NN=C(N)N)C1=CC(=CC(=C1)NC(=O)CCCN)C(=NN=C(N)N)C
D00654,C1NC2=C(C=C(C(=C2)C(F)(F)F)S(=O)(=O)N)S(=O)(=O)N1
BEN,C1=CC=C(C=C1)C(=N)N
ZINC28771020,CSC1=C(C=C(S1)C(=N)N)C2=NC(=CS2)C3=CC(=CC=C3)O
ZINC13539266,CCCC1=CC(=CC(=C1OC(C2=CC=CC=C2)C(=O)O)C)C(=O)OC
D00035,C1CC(NC1)C(=O)O
5FH,C1=CC=C(C=C1)CC2C(=O)NC(=O)N2
D00547,C(OC(C(F)(F)F)C(F)(F)F)F
D01196,CC(=O)NC1=NN=C(S1)S(=O)(=O)[NH-].[Na+]
ZINC12360019,C1=C(C=NC=C1Br)C2=NNN=N2
ZINC01666211,CN(C1=CC=CC=C1)C(=S)S
D00348,CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC(=O)O)C)C
ZINC95596764,CC1=CC(=NC=C1C(=O)O)C2=CC=CC=C2
ZINC00156974,COC(=O)C1=CC(=CC(=C1)O)O
D02880,CN1CCC(C(C1)O)C2=C(C=C(C3=C2OC(=CC3=O)C4=CC=CC=C4Cl)O)O.Cl
ZINC44387610,CCOC(=O)CCC(C(=O)OCC)NC(=O)C1=CC=C(C=C1)NC2=NC3=CC(=CC(=C3N=C2C4=CC=CC=C4)N)N
D00964,C1=CC(=CC=C1C#N)C(C2=CC=C(C=C2)C#N)N3C=NC=N3
D00219,CC(=O)C1=CC=C(C=C1)S(=O)(=O)NC(=O)NC2CCCCC2
D03503,CC1=C(N=CN1)CSCCNC(=NC)NC#N.Cl
ZINC40880234,CC1=CC=CC=C1C2=C(NC3=C2C=C(C=C3)S(=O)(=O)N)C(=O)N[N+]4=C(C=C(C=C4C)C)C
D00528,CN1C=NC2=C1C(=O)N(C(=O)N2C)C
ZINC27750530,CN(CC1CNC2=C(N1CC3=CNC(=O)NC3=O)C(=O)N=C(N2)N)C4=CC=C(C=C4)C(=O)NC(CCC(=O)[O-])C(=O)[O-]
ZINC13489403,C1=CC(=CC=C1C(=N)N)NC(=O)NCC(=O)NCC2=CC(=C(C=C2)Cl)Cl
ZINC05492693,CC(C)C(C(=O)NO)NS(=O)(=O)C1=CC=C(C=C1)OC
ZINC84618999,COC1=C(C=C2C(=C1)CCN3C2=C(N=C3)C4=CN=CO4)OC
ZINC14980014,C1=CC=NC(=C1)C2=CN=C(O2)C(=O)CCCCC#CC3=CC=C(C=C3)Cl
ZINC95588905,C1=CC=C(C=C1)OC2=C(C(=C(C(=C2F)F)S(=O)(=O)N)F)F
D02671,CN1CCCCC1CCN2C3=CC=CC=C3SC4=C2C=C(C=C4)S(=O)C
D00552,CCOC(=O)C1=CC=C(C=C1)N
D00113,CN1C2CCC1CC(C2)OC(=O)C(CO)C3=CC=CC=C3
D02880,CN1CCC(C(C1)O)C2=C(C=C(C3=C2OC(=CC3=O)C4=CC=CC=C4Cl)O)O.Cl
ZINC34355011,CC1=NC2=CC=CC=C2C(=C1)COC3=CC=C(C=C3)C(=O)NC4(CCNCC4)CC(=O)NO
D01871,CN1CCCC(C1)CC2C3=CC=CC=C3SC4=CC=CC=C24.O.Cl
ZINC12504500,CC1=CC(=[N+](C(=C1)C)CCC2=CC=C(C=C2)S(=O)(=O)N)C
D00294,CC1=NS(=O)(=O)C2=C(N1)C=CC(=C2)Cl
ZINC96142513,CC1(C=CC2=C(O1)C=CC(=C2OC)C3=NOC(C3)C4=CC=CC=C4)C
D00574,CCC1(CCC(=O)NC1=O)C2=CC=C(C=C2)N
ZINC26173193,CC(C)(C)C1=CC=C(C=C1)C(CC2=CC=C(C=C2)C(=O)NCCC(=O)O)C(=O)NC3=CC=C(C=C3)C4=C(C=C(C=C4)Cl)Cl
ZINC13487955,C1CN(C(C2=C1C3=CC=CC=C3N2)C4=CC5=C(C=C4)OCO5)C(=O)C6=CC=C(O6)C7=CC=C(C=C7)[N+](=O)[O-]
ZINC13686415,C1CC2=C(C1NC(=O)C3=C(C(=C(C(=C3F)F)F)F)F)C=CC(=C2)S(=O)(=O)N
D01441,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5.CS(=O)(=O)O
ZINC58592865,C1C(C(CN1)OC2=CC=CC(=C2)OC3=CC=C(C=C3)Cl)CC4=NC(=CC=C4)N
ZINC05668517,C1=CC=C2C(=C1)C(=O)C(=O)N2CC(=O)NC3=CC=C(C=C3)O
ZINC73198744,CC1=CN(C(=O)NC1=O)C2CC(C(O2)CNC(=S)NC3=CC(=C(C=C3)Cl)C(F)(F)F)O
D01977,COC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=C(C=C3)F)Cl)OCCCN4CCOCC4
ZINC64448545,C1=CC=C(C=C1)C#CC2=CC(=C(C(=C2)Cl)O)C(=O)O
ZINC12504433,CCOC1=CC(=C(C(=C1)C(C(=O)O)NC2=CC=C(C=C2)C(=N)N)F)OC3CCOC3
ZINC00388759,C1=CC(=CC=C1C#N)O
D00528,CN1C=NC2=C1C(=O)N(C(=O)N2C)C
ZINC06494961,CC1CCCCC1OC2=CC=CC(=C2O)C3=CC4=CC(=C(C=C4N3)F)C(=N)N
D02008,CN1CC(=O)N2C(C1=O)CC3=C(C2C4=CC5=C(C=C4)OCO5)NC6=CC=CC=C36
D01965,CC(CC1=CC2=C(C(=C1)C(=O)N)N(CC2)CCCO)NCCOC3=CC=CC=C3OCC(F)(F)F
ZINC72112408,CC1=CC=CC2=C1C(=O)N(C2=O)C3=CC=C(C=C3)C(=O)NCC(=O)O
ZINC55760827,CC(C)S(=O)(=O)C1=CC=CC=C1NC2=NC(=NC=C2Cl)NC3=C(C=C(C=C3)N4CCC(CC4)N5CCN(CC5)C)OC
ZINC40565515,CCCCCC(=O)NC(CC1=CC=C(C=C1)O)C(=O)NC(CCC(=O)O)C(=O)NC(CC(C)C)C(=O)O
D00451,CNS(=O)(=O)CC1=CC2=C(C=C1)NC=C2CCN(C)C
ZINC45254390,CC1=C(C=CC(=C1)Cl)NC2=NC=C(C(=N2)C3=CNC(=C3)C(=O)NC(CO)C4=CC(=CC=C4)Cl)C
ZINC03814027,CC1=CC=C(C(=O)N1CC(=O)NCC2CCN(CC2)C(=N)N)NS(=O)(=O)CC3=CC=CC=C3
ZINC95590357,C1=CC=C(C(=C1)N2S(=O)(=O)C3=CC=CC=C3S2(=O)=O)S(=O)(=O)N
ZINC29324474,CC(CCC(=O)NCCC(=O)NC1=NN=C(S1)S(=O)(=O)N)C2CCC3C2(C(CC4C3CCC5C4(CCC(C5)O)C)O)C
ZINC66101232,CC(C)C(C(=O)N(C)N(C)C#N)NC(=O)OCC1=CC=CC=C1
ZINC40548252,CCOP(=O)(CC(=O)OCC1C(CC(O1)N2C=CC(=O)NC2=O)O)OCC
ZINC03958764,C1COCCN1C(=O)COC2=CC=CC=C2
ZINC95920839,C1C(C(OC1N2C=CC(=O)NC2=O)CNC(C3=CC=CC=C3)C4=CC=CC=C4)O
D00293,CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3
D00110,CN1C2CCC1C(C(C2)OC(=O)C3=CC=CC=C3)C(=O)OC
ZINC28263300,CC1=CC(=CC=C1)OCCNC2=CC=NC=C2
D02253,CCCC(C)C1(C(=O)NC(=NC1=O)[O-])CC.CCCC(C)C1(C(=O)NC(=NC1=O)[O-])CC.[Ca+2]
PHI,C1=CC(=CC=C1CC(C(=O)O)N)I
D00332,C1CCC(CC1)(CC(=O)O)CN
D01346,C1=CC=C(C=C1)C(=O)NC(CC2=CC=C(C=C2)O)C(=O)NC3=CC=C(C=C3)C(=O)O
ZINC13517991,C1=CC(=CC(=C1)NCC(CCCN=C(N)N[N+](=O)[O-])N)CCN
ZINC96286133,C1C(C(C(CC2=CC=CC=C21)O)N)O
D00283,CN1CCN(CC1)C2=C3C=CC=CC3=NC4=C(N2)C=C(C=C4)Cl
ZINC96284708,CC1=CC(=NC(=C1)N)COCC(CCN)OCC2=NC(=CC(=C2)C)N
ZINC64528413,CC1=C(C=C(N1C2=CC=C(C=C2)S(=O)(=O)N)C3=CC4=CC=CC=C4C=C3)C(=O)NCCN(C)C
ZINC66166242,C1=CSC(=C1CN2C(=O)C3=CSC=C3N(C2=O)CC(C(=O)O)N)C(=O)O
ZINC13489419,CN(C)C1=CC=C(C=C1)CNC(=O)C(CC2=CC=CC=C2)NC(=O)NC3=CC=C(C=C3)C(=N)N
ZINC28350440,C1=CC(=C(C=C1CNC2=NC(=O)C3=C(N2)N=CN3CCCCCO)Cl)Cl
D00065,CCC(C)C(C(=O)O)N
ZINC29204952,CC(C)CC(C(=O)NC1CCN(CC1=O)C(=O)C(CC(C)C)NC(=O)OCC2=CC=CC=C2)NC(=O)OCC3=CC=CC=C3
D01223,CCCCCOC(=O)NC1=NC(=O)N(C=C1F)C2C(C(C(O2)C)O)O
D02042,CC1=C(C=C(C(=O)N1)C#N)C2=CN3C=CN=C3C=C2.O.Cl
ZINC49088325,C(CC(C(=O)O)N)C1=NONC1=O
D00281,C1CN=C(N1)NC2=C(C=CC=C2Cl)Cl
D00522,CCOC1=NC2=CC=CC(=C2N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5)C(=O)O
ZINC14176010,CC1CC2(C3=CC=CC=C13)C4=C(C=CC(=C4)OC)OC2=O
ZINC13804300,CC1=CC(=CC(=[N+]1CC(=O)NNC2=CC=C(C=C2)S(=O)(=O)N)C)C3=CC=CC=C3
D02880,CN1CCC(C(C1)O)C2=C(C=C(C3=C2OC(=CC3=O)C4=CC=CC=C4Cl)O)O.Cl
ZINC42923736,C1C2C(C(C1O[N+](=O)[O-])C3=CC=CC=C23)O
ZINC28647437,COC1=CC=C(C=C1)S(=O)(=O)N(CC(=O)NO)OCC2=CC=CC=C2
ZINC84619498,COC1=C(C=C2C(=C1)CCN3C2=C(N=C3)C4=CN=CC=C4)OC
ZINC13681292,COC1=CC(=C2C3C4CCCC(N4C(=O)C(=O)C5=CC(=CC=C5)Cl)C(=O)N3CCC2=C1)OC
ZINC01426189,C1CC(N(C1)C(=O)NC2=CC=CC=C2)C(=O)NCCC3=CC=CC=C3
D00496,CC(C)(C(C(=O)O)N)S
ZINC26839714,CN(C)C(=O)N1CCN(CC1)C(=O)C(CC2=CC=CC(=C2)C(=N)N)NS(=O)(=O)C3=CC4=CC=CC=C4C=C3
ZINC26837054,CC(C)(C)OC(=O)NC(CC1=CC=C(C=C1)N(CCC(=O)O)C(=O)C(=O)O)C(=O)NCCCCOC2=CC=CC(=C2C(=O)OC)O
ZINC14979936,C1=CC=C(C=C1)OC2=CC=C(C=C2)CCC(=O)C3=NC=C(O3)C4=CC=CC=N4
D02731,CCCC1=NC(=C2N1NC(=NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)CC)OCC)C.Cl.Cl
DKX,C1=CN(C(=O)NC1=O)C2C(C(C(C(O2)CO)O)F)O
D00550,CC1=NC=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4F
ZEB,C1=CN(C(=O)NC1O)C2C(C(C(O2)CO)O)O
ZINC13580533,C(C(C(C(=O)N)O)O)OP(=O)(O)O
PPI,CCC(=O)O
ZINC14980143,C1=CC=NC(=C1)C2=CN=C(O2)C(=O)CCl
3PL,C1=CC=C(C=C1)CCC=O
ZINC13491454,CC(C)CC1=CC=C(C=C1)C2=CC(=C(S2)C(=O)O)NC(=O)C(=O)O
D01704,COC1=C(C=C(C=C1)C2(CCC(CC2)C(=O)O)C#N)OC3CCCC3
D00593,CCC1=C(CN(C1=O)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCC(CC3)C)C
ZINC27553709,CC1=C(SC(=C1)CNS(=O)(=O)C2=CC(=C(C=C2)O)C(=O)O)C(=O)NC(CC(=O)O)C(=O)CSCC3=CC=CC=C3Cl
D03260,CCCC1=NC(=C2N1NC(=NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)CC)OCC)C.O.O.O.Cl
D00528,CN1C=NC2=C1C(=O)N(C(=O)N2C)C
ZINC13757372,CC(=CC(=O)O)C=CC=C(C)C1=CC2=C(C=C1OC)C(CCC2(C)C)(C)C
ZINC18187912,CC1CN(CC(O1)C)C(=O)COC2=CC(=C(C(=C2)C)Cl)C
ZINC40917909,C1=CC=C(C=C1)CCCCCCC(=O)C2=NN=C(C=C2)C3=CC=CS3
ZINC13526874,C1=CC=C(C=C1)C2=C(C(=O)C(=CNO)C=C2)C3=CC=CC=C3
ZINC95557434,CC(C)NC(=O)C1CCC(CC1)N2C3=C(C=CC(=C3)CN4CCC(CC4)C(C)(C)O)N=C2NC(=O)C5=CC(=CC(=C5)F)F
D00394,CC(CN1C2=CC=CC=C2CCC3=CC=CC=C31)CN(C)C
ZINC27205746,CC(C1=CC(=CC=C1)OCC2=CC=CC=C2)NC(=O)CNC(=O)NC3=CC=C(C=C3)C(=N)N
ZINC28525255,C(C1C(C(C(C(O1)ON)O)O)O)O
D00043,CC(C)OP(=O)(OC(C)C)F
ZINC96285741,C1CN(CCC1C(=O)NC2=CC(=CC=C2)OCC3=CC=CC=C3F)C4=CC=NC=C4
ZINC14956399,CC1=CC(=[N+](C(=C1)C2=CC=CC=C2)C3=CC=C(C=C3)S(=O)(=O)NC4=NN=C(S4)S(=O)(=O)N)C5=CC=CC=C5
ZINC18825344,CC1=C(NC(=C1C(=O)NCC(CN2CCOCC2)O)C)C=C3C4=C(C=CC(=C4)F)NC3=O
ZINC13777216,CCOC(=O)C(CC(C)C)C(=O)NO
D00545,C(C(F)(F)F)(OC(F)F)Cl
ZINC13808315,C1=CC(=CC=C1CN(CC(=O)NO)C(=O)NC2=CC=C(C=C2)Cl)[N+](=O)[O-]
D01575,CC1=[N+](C2=CC=CC=C2C(=C1)N)CCCCCCCCCC[N+]3=C(C=C(C4=CC=CC=C43)N)C.[Cl-].[Cl-]
ZINC40422537,CC1=CC=C(C=C1)NC(=S)NC2=CC=C(C=C2)S(=O)(=O)NC3=NC=CS3
ZINC13491484,C1CN(CC2=C1C(=C(S2)NC(=O)C(=O)O)C(=O)O)CCC3=CC=CC=C3
D03689,COC1=C(C=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)F)F
D00227,CN1C2=C(C(=O)N(C1=O)C)NC=N2.CN1C2=C(C(=O)N(C1=O)C)NC=N2.C(CN)N
ZINC31623433,C1=CN(C(=O)N=C1NO)C2C(C(C(O2)COP(=O)(O)O)O)O
D01871,CN1CCCC(C1)CC2C3=CC=CC=C3SC4=CC=CC=C24.O.Cl
D02731,CCCC1=NC(=C2N1NC(=NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)CC)OCC)C.Cl.Cl
D00094,CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC(=O)O)C)C
ZINC49087997,C1=CC2=C(C=CC3=C2C(=C1)C(=O)N3)S(=O)(=O)NCCCOP(=O)(O)O
ZINC29476370,C1=CC(=C(C=C1C(=O)NC(CO)C(=O)O)S(=O)(=O)N)Cl
ZINC14971711,CC(CNC1=CC=C(C=C1)OC(F)(F)F)NC(=O)C(CC2CCCC2)CC(=O)N3CCOCC3
ZINC13775913,CC1(CCC(C2=C1C=C3CC4=CC=CC=C4N=C(C3=C2)C5=CC=C(C=C5)C(=O)O)(C)C)C
D00437,CC1=C(C(C(=C(N1)C)C(=O)OC)C2=CC=CC=C2[N+](=O)[O-])C(=O)OC
ZINC43024151,C1CC(C(C(C1O[N+](=O)[O-])O)O)O[N+](=O)[O-]
D00094,CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC(=O)O)C)C
D02008,CN1CC(=O)N2C(C1=O)CC3=C(C2C4=CC5=C(C=C4)OCO5)NC6=CC=CC=C36
ZINC03830569,C1C2N(C1=O)C(C(=CCO)O2)C(=O)O
ZINC49046920,C1=CC(=CC=C1CCNC(=O)CCCNC2=NC(=O)N(C=C2)O)S(=O)(=O)N
ZINC02876279,COC1=CC2=C(C=C1)N=C(N2)SCC(=O)C3=CC(=C(C=C3)O)O
ZINC00331704,C1=CC=C(C=C1)C(=O)CBr
ZINC84670381,C1=CC=C2C=C(C=CC2=C1)NC(=O)NC3=CC=C(C=C3)OS(=O)(=O)N
ZINC29328281,CC(CCC(=O)OCCC1=CC=C(C=C1)S(=O)(=O)N)C2CCC3C2(C(=O)CC4C3C(=O)CC5C4(CCC(=O)C5)C)C
ZINC03988481,C1CCN(C1)CCOC2=CC=C(C=C2)CN3C(CCC4=C3C=CC(=C4)O)C5=CC=C(C=C5)O
ZINC28645927,C1CNCC1NC(=O)C(CCCN=C(N)N[N+](=O)[O-])N
ZINC34717832,CC1CC(C(C(C=C(C(C(C=CC=C(C(=O)NC2=CC(=C(C(=C2O)C1)N=CCF)O)C)OC)OC(=O)N)C)C)O)OC
ZINC84634004,CCCCOC1=CC=C(C=C1)NC(=O)CCC(=O)NC(C2=CC3=CC=CC=C3C=C2)C(=O)NC(C4=CC5=CC=CC=C5C=C4)C(=O)N
ZINC26506850,CC1CCC(CC1(C(=O)C(=O)N2CCCCC2C(=O)OCC3=CC=CC=C3)O)C(C)OC
ZINC58638498,COC1=NC=NC(=C1[N+](=O)[O-])NCC2=CC=C(C=C2)S(=O)(=O)N
D03218,CNC(=O)C1=CC=CC=C1SC2=CC3=C(C=C2)C(=NN3)C=CC4=CC=CC=N4
ZINC00451342,C1=CC=C(C(=C1)CN2C3=CC=CC=C3N=C2C4=CSC=N4)C#N
ZINC14908007,C1=CC=C(C=C1)CC2C(C(C(N(C(=O)N2CCCCCCCCO)CCCCCCCCO)CC3=CC=CC=C3)O)O
ZINC28389402,CNC1=NC(=NC(=N1)NC2=CC=C(C=C2)S(=O)(=O)N)NC
D05312,CN1CCC23C4C(=O)CCC2(C1CC5=C3C(=C(C=C5)OC)O4)O
DIF,C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl
ZINC14908063,C1=CC=C(C=C1)CC2C(C(C(N(C(=O)N2CCCCCN3C=CN=C3)CCCCCN4C=CN=C4)CC5=CC=CC=C5)O)O
D03966,C1CC(C2C1C2C(=O)O)(C(=O)O)N.O
ZINC00087131,CC1=CC(=C(O1)C)C(=O)NC2=CC(=C(C=C2)O)C(=O)O
ZINC40875925,COC(=O)C1=CC=CC(=N1)C2=NN=C(O2)C(=O)CCCCCCC3=CC=CC=C3
ZINC49046141,CCCC(CC)C(=O)NC1=CC=C(C=C1)S(=O)(=O)N
D00423,C1=NC(=NN1C2C(C(C(O2)CO)O)O)C(=O)N
ZINC13472573,CCOC(=O)C1=CC2=C3C=CC(=CC3=NC(=O)N2N1)Cl
